S	E	I1	I2	I3	I4	I5_h	I6_h	R_h	R	D1	D2	H	T	P1	P2	Q	QT	NQ	MUT	HOM	VAC	NI
131423	939	1852	1208	559	537	168	70	13	41366	393	1005	902	275	7	155	16874	1879	3454	98	48951	360	630
130845	921	1873	1214	571	551	164	69	14	41902	399	1010	855	349	15	186	16865	1879	3484	98	49186	360	570
130193	935	1938	1210	538	565	163	73	16	42489	400	1013	879	324	6	181	16956	1915	3507	98	49015	360	645
129575	925	1954	1216	548	573	169	73	15	43061	408	1016	859	290	5	172	16256	1916	3542	98	49255	360	610
129054	868	1897	1264	568	576	182	70	20	43594	414	1026	831	271	7	160	14644	1877	3548	98	74470	360	517
128581	812	1839	1256	588	564	173	76	15	44180	419	1030	851	362	4	184	14553	1854	3454	98	74188	360	467
127978	833	1851	1244	558	565	182	74	14	44771	428	1035	824	296	10	186	16309	1928	3379	98	48805	360	594
127379	909	1810	1252	572	559	179	77	16	45303	433	1044	834	288	9	166	16798	1932	3426	98	49163	360	591
126800	902	1827	1237	595	566	180	79	12	45852	436	1047	864	312	8	167	16489	1953	3433	98	49825	360	576
126228	888	1854	1210	587	560	179	79	11	46439	442	1056	843	274	6	159	17056	1934	3423	98	49161	360	559
125592	893	1923	1187	571	566	177	77	11	47030	447	1059	822	269	12	161	16497	1937	3457	98	49493	360	632
125068	880	1878	1191	575	570	169	76	12	47597	454	1063	792	259	6	149	16516	1902	3437	99	74726	360	522
124613	794	1854	1173	580	566	162	78	12	48172	461	1068	778	301	8	174	15741	1853	3354	99	74645	360	451
124006	807	1860	1219	563	563	162	78	11	48721	467	1076	763	278	5	161	15782	1850	3402	99	48318	360	597
123461	864	1776	1216	561	541	160	79	11	49313	472	1079	827	276	8	170	15541	1811	3386	99	48407	360	541
122877	840	1830	1233	529	547	158	81	11	49866	478	1083	793	354	7	173	14851	1825	3393	99	48578	360	581
122296	870	1821	1249	516	517	159	70	14	50445	491	1085	839	323	8	157	15001	1784	3418	99	48585	360	575
121757	865	1767	1225	548	548	147	68	16	51012	493	1087	840	371	5	142	14808	1776	3392	99	47919	360	536
121351	761	1737	1185	531	539	147	67	14	51612	499	1090	878	329	7	179	14312	1745	3222	99	73131	360	402
120961	682	1681	1171	529	505	146	67	13	52184	503	1091	882	374	11	154	15401	1720	3061	99	74458	360	387
120467	710	1610	1205	526	499	151	64	11	52688	508	1094	864	315	5	139	16032	1752	3013	99	48585	360	489
119960	742	1595	1165	538	496	146	61	11	53203	513	1103	853	352	9	159	16880	1789	2954	99	48772	360	499
119489	726	1565	1184	514	503	143	64	12	53710	515	1108	880	357	5	140	16727	1754	2945	99	49587	360	463
118984	769	1529	1163	504	509	138	59	14	54224	524	1116	896	280	13	163	16775	1772	2899	99	49633	360	498
118533	747	1524	1130	506	494	129	61	16	54745	525	1123	868	273	3	134	16935	1686	2905	99	49487	360	448
118188	668	1450	1106	511	471	127	68	17	55270	529	1128	883	255	11	139	16403	1646	2755	99	74516	360	339
117830	605	1395	1084	523	466	132	64	16	55751	534	1133	874	274	7	140	15574	1579	2690	99	74393	360	351
117439	586	1386	1057	508	443	128	69	15	56226	536	1140	884	291	2	140	16875	1594	2583	99	48902	360	387
117054	597	1329	1040	474	426	121	70	19	56716	539	1148	868	332	8	126	14730	1501	2556	99	49395	360	373
116678	587	1275	1000	464	407	121	73	17	57215	542	1154	845	260	4	122	15751	1460	2467	99	47475	360	370
116325	558	1241	982	441	390	125	67	19	57678	550	1157	845	344	2	137	15061	1401	2403	99	48513	360	351
115949	546	1253	944	434	389	115	70	17	58100	554	1162	821	299	3	94	13817	1309	2442	99	47623	360	373
115685	517	1133	930	417	388	112	71	14	58539	561	1166	806	330	4	111	13017	1239	2329	99	72127	360	258
115421	454	1099	871	399	400	105	67	12	58968	567	1170	811	264	3	141	13216	1217	2178	99	73146	360	260
115100	428	1119	824	369	385	101	66	13	59384	571	1173	813	289	7	118	14604	1240	2052	99	47036	360	318
114789	454	1047	800	359	393	104	61	13	59757	576	1180	840	376	5	97	15054	1207	2011	99	47325	360	306
114490	457	1029	778	333	371	96	65	13	60131	582	1188	855	283	2	96	14079	1129	2000	99	47404	360	294
114191	462	1000	757	323	337	90	66	12	60517	585	1193	872	289	4	85	12989	1024	2011	99	46440	360	297
113894	465	986	733	323	326	93	64	12	60850	589	1198	841	316	2	101	12836	1056	1934	99	45686	360	293
113666	417	963	729	304	317	95	65	13	61170	592	1202	872	262	3	85	10885	967	1923	99	71810	360	224
113468	368	925	708	297	309	85	65	12	61497	593	1206	898	277	3	78	10569	912	1845	99	71158	360	192
113224	359	885	680	288	305	85	53	17	61823	604	1210	887	313	4	92	11596	911	1744	99	43872	360	239
113005	360	825	656	286	288	85	50	19	62142	606	1211	878	244	8	83	10393	873	1677	99	44352	360	216
112790	340	800	634	285	273	79	43	18	62444	612	1215	874	293	5	77	9372	834	1620	99	43565	360	211
112569	335	769	598	265	271	81	45	16	62749	615	1220	835	333	5	78	10008	787	1577	99	42984	360	216
112368	331	734	581	242	259	78	39	15	63038	623	1225	859	339	5	80	9098	784	1480	99	43130	360	196
112206	293	716	554	233	251	72	39	16	63298	626	1229	865	338	3	70	9425	787	1371	99	69545	360	160
112080	255	646	530	230	251	70	35	17	63556	630	1233	828	265	1	68	10953	755	1262	99	70830	360	124
111909	245	618	500	208	238	69	39	16	63826	632	1233	816	338	3	56	11077	704	1213	99	44202	360	170
111758	243	568	514	202	225	73	39	13	64024	636	1238	854	319	2	75	11213	704	1160	99	44523	360	147
111602	241	544	494	185	204	71	40	14	64255	638	1245	898	270	3	64	10626	664	1115	99	44025	360	152
111461	217	529	473	182	191	69	40	12	64475	639	1245	870	272	3	52	10645	638	1063	99	43844	360	140
111343	206	463	454	177	178	59	37	11	64711	641	1253	853	248	1	47	9728	568	1006	99	43415	360	110
111237	197	441	412	163	171	52	35	9	64911	644	1261	859	262	1	48	9481	550	921	99	69740	360	100
111160	162	423	398	150	154	50	32	10	65081	646	1267	852	293	4	30	9574	500	869	99	70889	360	76
111048	157	386	386	154	152	46	32	7	65245	648	1272	863	241	2	37	9251	476	837	99	42481	360	108
110961	157	343	353	151	149	41	30	9	65408	650	1281	851	247	1	40	7668	451	773	99	42256	360	82
110878	140	320	334	133	126	36	29	9	65584	652	1292	829	118	4	39	7610	415	703	99	40518	360	76
110797	138	289	321	116	130	36	25	10	65719	655	1297	799	265	1	41	7645	402	653	99	40507	360	77
110716	120	287	276	98	123	38	28	9	65878	655	1305	810	259	2	30	7191	368	602	99	40426	360	78
110659	103	246	267	91	110	37	25	11	66014	657	1313	824	268	4	32	6971	334	545	99	68017	360	51
110605	91	237	246	89	95	35	23	12	66122	660	1318	828	278	0	26	6146	295	521	99	68203	360	51
110542	87	226	226	77	91	35	23	9	66233	662	1322	850	118	1	29	6066	280	485	99	39636	360	61
110488	82	220	212	70	75	35	21	10	66329	665	1326	824	109	1	23	5210	248	467	99	39627	360	53
110443	71	198	202	69	77	33	21	10	66413	666	1330	825	298	1	17	5682	238	433	99	38562	360	41
110385	69	186	201	69	74	33	16	10	66487	671	1332	835	122	1	25	5168	235	413	100	38803	360	56
110317	77	163	191	68	66	29	16	11	66583	671	1341	811	248	0	16	5805	218	392	100	38415	360	60
110275	77	151	177	61	64	24	14	10	66661	673	1346	791	284	0	21	5232	196	372	100	66797	360	36
110236	68	146	155	55	63	23	12	8	66739	674	1354	812	239	0	21	5034	192	330	100	67405	360	32
110208	52	136	155	46	52	21	10	6	66809	677	1361	792	122	1	16	5008	178	294	100	38373	360	24
110181	48	122	143	39	47	19	12	6	66874	677	1365	813	123	1	5	4873	149	281	100	38063	360	26
110137	55	125	113	40	41	18	12	4	66940	678	1370	798	108	1	12	4384	133	271	100	38058	360	39
110106	57	112	120	39	36	16	11	3	66983	679	1371	792	101	0	12	4133	124	267	100	37444	360	30
110071	55	115	105	34	30	15	12	3	67041	679	1373	822	254	1	11	4483	106	260	100	37269	360	34
110044	54	111	98	35	33	13	11	3	67075	680	1376	838	106	0	13	4153	110	245	100	66270	360	26
110011	51	113	86	32	27	13	12	3	67122	680	1383	840	108	0	7	4506	103	231	100	66651	360	28
109989	41	111	79	27	30	13	12	3	67162	681	1385	855	109	0	9	3510	96	217	100	37484	360	21
109965	36	91	104	24	26	10	11	2	67193	682	1389	847	274	0	10	3004	92	210	100	36806	360	22
109932	35	91	98	21	27	8	10	4	67231	682	1394	884	107	0	6	3406	81	209	100	36029	360	28
109909	31	85	94	23	28	8	10	4	67253	683	1405	876	157	1	9	3385	78	201	100	36678	360	19
109880	28	80	85	25	29	7	8	5	67289	685	1412	857	131	1	10	3457	81	181	100	36585	360	23
109867	25	60	90	25	28	6	9	4	67321	685	1413	864	172	0	8	3417	77	166	100	65576	360	13
109847	30	54	81	24	26	5	8	2	67352	686	1418	856	280	0	8	3915	81	147	100	66172	360	17
109821	30	51	79	23	21	5	8	2	67381	687	1425	840	126	0	4	2781	73	144	100	37378	360	21
109806	20	54	70	24	19	5	7	2	67406	688	1432	845	168	0	6	2243	63	136	100	35802	360	10
109775	25	55	66	21	19	5	7	2	67430	688	1440	850	104	1	7	2696	69	129	100	35487	360	24
109758	27	51	61	21	15	5	6	2	67454	689	1444	868	97	0	2	3110	58	128	100	35817	360	16
109737	22	52	51	21	14	5	4	3	67482	690	1452	889	81	0	4	3644	54	115	100	37172	360	13
109718	24	46	46	18	14	4	3	3	67508	690	1459	896	106	0	5	3191	53	102	100	65976	360	15
109706	19	52	39	14	14	4	3	2	67529	690	1461	885	101	0	4	3078	52	93	100	65157	360	10
109691	15	50	41	17	13	4	3	2	67541	690	1466	916	111	0	3	3073	53	90	100	36001	360	12
109679	12	54	36	13	13	4	3	2	67555	690	1472	879	97	0	3	2519	54	81	100	36459	360	11
109657	16	50	35	12	9	4	3	1	67575	690	1481	877	126	0	2	2029	39	90	100	35633	360	15
109647	18	33	39	16	11	4	2	1	67589	690	1483	865	319	0	2	1944	33	90	100	35023	360	8
109632	18	35	33	10	13	5	2	1	67608	690	1486	866	111	0	8	2807	31	85	100	35095	360	12
109626	15	31	33	9	14	5	1	1	67615	691	1492	849	277	0	6	2432	34	74	100	65152	360	2
109614	15	37	29	5	12	5	1	0	67629	691	1495	858	120	0	0	1748	31	73	100	65339	360	9
109604	10	38	29	3	12	3	1	0	67641	691	1501	831	121	0	2	1714	25	71	100	34792	360	8
109589	9	35	32	6	10	4	1	0	67651	691	1505	847	103	0	3	1674	22	75	100	34741	360	11
109575	6	39	33	4	8	4	1	0	67660	691	1512	893	101	0	3	1654	22	73	100	34802	360	7
109557	8	37	31	5	6	4	0	0	67673	692	1520	879	106	0	1	1680	24	67	100	34931	360	12
109542	14	35	29	7	8	3	0	0	67675	692	1528	852	119	0	0	1668	24	72	100	34795	360	14
109530	20	28	28	9	6	2	0	0	67686	692	1532	832	113	0	1	1648	21	72	100	64398	360	9
109525	14	24	29	11	4	2	1	0	67697	692	1534	818	106	0	5	1661	28	57	100	64742	360	3
109512	12	24	30	11	3	2	1	0	67706	692	1540	834	104	0	1	704	25	58	100	34628	360	8
109503	13	25	28	8	2	4	1	0	67714	692	1543	863	106	0	4	583	27	54	100	33677	360	7
109498	10	17	28	5	5	4	1	0	67724	692	1549	844	101	0	1	688	20	50	100	33739	360	2
109488	9	18	26	7	7	4	1	0	67724	692	1557	827	119	0	3	697	25	47	100	33695	360	6
109480	8	20	22	5	5	4	1	0	67736	692	1560	841	126	0	1	688	21	44	100	34055	360	6
109473	9	15	18	5	4	5	0	0	67747	693	1564	849	134	0	2	616	17	39	100	63472	360	4
109466	6	18	17	6	4	5	0	0	67747	693	1571	857	121	0	2	1092	20	36	100	63885	360	4
109456	6	15	19	6	4	5	0	0	67750	693	1579	878	93	0	0	1098	19	36	100	34267	360	4
109449	6	18	16	6	4	5	0	0	67754	693	1582	864	117	0	0	1075	14	41	100	34223	360	5
